CO_ESCOLA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,TP_DEPENDENCIA_ADM_ESC,CO_UF_ESC,TP_LOCALIZACAO_ESC,QTD_ALUNOS,MEDIA_GERAL,STD_NOTAS,NOTA_MAX,NOTA_MIN,DIF_MT_LC,DIF_CN_CH,PCT_NU_NOTA_CN,PCT_NU_NOTA_CH,PCT_NU_NOTA_LC,PCT_NU_NOTA_MT,PCT_NU_NOTA_REDACAO,cluster
41122860.0,503.22727272727275,516.0363636363636,524.8818181818182,491.60909090909087,660.0,2.0,41.0,1.0,11,539.1509090909091,68.72613052201416,660.0,491.60909090909087,-33.27272727272731,-12.809090909090855,0.7300743889479278,0.6633695741028366,0.5879179269189896,0.45565274258154176,0.6462028938118205,0
41122917.0,466.72499999999997,486.89166666666665,514.5,459.7583333333334,610.0,2.0,41.0,1.0,12,507.575,61.077394834113726,610.0,459.7583333333334,-54.74166666666662,-20.166666666666686,0.4208289054197662,0.4307201831112564,0.47870514182947765,0.1713398185236655,0.4793591106024687,0
41123506.0,452.96153846153845,484.9307692307693,523.0384615384615,467.96153846153845,627.6923076923077,2.0,41.0,1.0,13,511.3169230769231,70.11043790305823,627.6923076923077,452.96153846153845,-55.076923076923094,-31.96923076923082,0.24989781737922015,0.4151066786560942,0.5693615629853674,0.24564702035477806,0.5485571813945884,0
41123662.0,487.0329411764706,528.8988235294117,537.5458823529412,509.6976470588236,659.5294117647059,2.0,41.0,1.0,85,544.5409411764706,67.15128492742966,659.5294117647059,487.0329411764706,-27.84823529411767,-41.86588235294113,0.6292814518106761,0.7353878852284803,0.71119104062781,0.5821139540586937,0.6442409874928472,0
41123832.0,584.8428571428572,586.75,584.0142857142857,634.3000000000001,742.8571428571429,4.0,41.0,1.0,14,626.5528571428571,68.41093972070102,742.8571428571429,584.0142857142857,50.285714285714334,-1.9071428571428442,0.9543856780838715,0.9169050927818196,0.9386904275320853,0.9066459576555219,0.8156625521131367,1
41124596.0,467.93461538461537,507.46153846153845,527.4384615384615,492.7730769230769,627.6923076923077,2.0,41.0,1.0,26,524.66,61.55019999823305,627.6923076923077,467.93461538461537,-34.665384615384596,-39.52692307692308,0.43399002697621186,0.6018965094416742,0.6151393770947438,0.46497179759666474,0.5485571813945884,0
41124669.0,472.98999999999995,453.89,499.82,452.06000000000006,512.0,2.0,41.0,1.0,10,478.15199999999993,26.978105381957413,512.0,452.06000000000006,-47.759999999999934,19.099999999999966,0.4930107087386577,0.16692552930597565,0.33597645712417235,0.11174691408485245,0.14526281370064578,0
41124847.0,496.9823529411765,502.7352941176471,516.6999999999999,503.8588235294118,563.5294117647059,2.0,41.0,1.0,17,516.7611764705882,27.118579989056144,563.5294117647059,496.9823529411765,-12.841176470588152,-5.752941176470586,0.6970489659118777,0.5628218752554566,0.5019210332706613,0.5454917027711926,0.2990680944984877,0
41125029.0,479.2,487.74736842105267,514.857894736842,491.25263157894733,612.6315789473684,2.0,41.0,1.0,19,517.1378947368421,54.99403573805985,612.6315789473684,479.2,-23.605263157894683,-8.547368421052681,0.5575083789749039,0.4383225700972779,0.4818932395978092,0.45197416823346687,0.4917027711926755,0
41125053.0,483.11,487.87,500.3,484.06000000000006,610.0,2.0,41.0,1.0,10,513.068,54.618493845949274,610.0,483.11,-16.239999999999952,-4.759999999999991,0.5949072181803319,0.43963050764326006,0.3399411428104308,0.3930352325676449,0.4793591106024687,0
41125193.0,463.6636363636364,429.20909090909095,499.6636363636364,474.82727272727277,545.4545454545455,2.0,41.0,1.0,11,482.5636363636364,43.334297298029995,545.4545454545455,429.20909090909095,-24.836363636363615,34.45454545454544,0.38387966974576965,0.045614321916128506,0.3349137578680618,0.3112891359437587,0.23869860214174773,0
41125304.0,444.86470588235295,502.8294117647059,516.5,464.1529411764706,620.0,2.0,41.0,1.0,17,509.6694117647059,68.07657496395899,620.0,444.86470588235295,-52.34705882352938,-57.96470588235297,0.15768822038747649,0.563884574511567,0.5006539687729911,0.2121311207389847,0.5192103327066132,0
