CO_ESCOLA,TP_DEPENDENCIA_ADM_ESC,QTD_ALUNOS,MEDIA_GERAL,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,cluster
11104805.0,2.0,22,481.8218181818182,488.15909090909093,471.590909090909,486.35909090909087,463.909090909091,499.09090909090907,0
11106808.0,1.0,130,586.0675384615384,520.5176923076922,539.3261538461538,548.6123076923076,574.4969230769232,747.3846153846154,1
11106859.0,2.0,25,458.2768,460.476,456.02399999999994,464.444,465.6400000000001,444.8,0
11106867.0,2.0,62,499.26322580645166,456.8548387096774,471.7096774193548,492.82903225806456,459.76129032258063,615.1612903225806,0
11107804.0,1.0,110,560.0198181818182,502.9909090909091,515.1663636363637,536.059090909091,543.700909090909,702.1818181818181,1
11108800.0,1.0,86,550.9167441860466,500.81395348837236,514.8151162790698,528.3662790697673,535.9372093023255,674.6511627906976,1
11109807.0,1.0,212,577.6529245283019,520.8316037735849,527.8995283018867,538.7004716981132,562.8141509433962,738.0188679245283,1
11109815.0,1.0,154,571.6719480519481,517.8136363636364,524.0097402597403,545.3571428571429,560.0103896103897,711.1688311688312,1
11113804.0,2.0,21,450.34666666666664,439.5380952380952,433.1761904761904,452.0761904761905,445.0380952380952,481.9047619047619,0
12000418.0,2.0,157,493.34866242038214,448.6133757961783,475.56878980891713,495.7592356687898,460.3050955414012,586.4968152866242,0
12000450.0,2.0,87,484.1719540229886,450.62643678160913,445.8068965517241,488.3229885057473,451.9655172413793,584.1379310344828,0
12000531.0,2.0,17,428.2752941176471,427.5117647058824,420.9294117647059,460.2705882352941,432.66470588235296,400.0,0
12000906.0,2.0,34,476.08470588235286,430.8529411764706,459.8735294117646,468.9617647058824,452.5,568.2352941176471,0
12000914.0,2.0,78,490.11435897435894,452.88333333333327,454.28461538461545,486.21794871794873,449.23717948717956,607.9487179487179,0
12000930.0,2.0,22,472.9954545454545,437.09090909090907,424.9545454545454,458.34999999999997,451.8545454545454,592.7272727272727,0
12000973.0,2.0,14,473.16571428571433,426.69285714285706,461.2142857142858,482.3071428571429,429.9000000000001,565.7142857142857,0
12001686.0,4.0,20,579.984,521.525,541.88,535.6250000000001,574.89,726.0,1
12001805.0,2.0,14,455.32428571428574,445.3857142857143,435.2642857142857,461.42857142857144,437.40000000000003,497.14285714285717,0
12001945.0,2.0,39,469.4784615384616,438.98717948717956,428.8974358974359,469.2282051282053,454.38205128205124,555.8974358974359,0
12002046.0,2.0,55,495.3123636363636,461.6654545454545,446.1672727272728,479.9981818181818,482.1854545454545,606.5454545454545,0
12003050.0,2.0,43,461.71906976744174,425.6837209302325,439.69069767441863,451.7860465116279,453.29534883720925,538.1395348837209,0
12004197.0,2.0,154,491.04636363636365,455.7753246753246,464.51753246753253,489.6876623376623,475.1214285714286,570.1298701298701,0
12005711.0,2.0,102,466.3776470588235,445.6980392156863,446.6686274509804,473.5686274509804,454.58039215686284,511.37254901960785,0
12005894.0,2.0,86,444.09534883720926,437.956976744186,430.6232558139534,454.90930232558134,447.21976744186037,449.7674418604651,0
12006920.0,2.0,45,469.22622222222225,443.08888888888896,437.2244444444445,460.3911111111112,455.20444444444445,550.2222222222222,0
12007412.0,2.0,19,470.78526315789475,434.88421052631577,457.4157894736842,459.5263157894737,444.2052631578947,557.8947368421053,0
12007617.0,2.0,112,486.1876785714286,448.42857142857144,465.68392857142857,489.3294642857142,455.5321428571429,571.9642857142857,0
12009369.0,2.0,42,481.34809523809525,450.59285714285716,450.0214285714286,478.2833333333333,462.1285714285714,565.7142857142857,0
12009725.0,2.0,31,498.99612903225807,458.7580645161291,474.19032258064516,492.17096774193556,451.7967741935484,618.0645161290323,0
12010731.0,2.0,17,479.8800000000001,456.13529411764705,475.54117647058825,492.09411764705885,483.864705882353,491.7647058823529,0
12010928.0,4.0,36,542.2783333333334,498.01666666666665,506.5361111111112,517.075,516.4305555555554,673.3333333333334,1
12010936.0,4.0,97,641.9101030927835,555.5917525773197,577.5041237113402,582.3927835051546,633.2371134020618,860.8247422680413,1
12011410.0,1.0,24,589.36,530.85,551.2708333333334,561.5541666666667,571.4583333333334,731.6666666666666,1
12011428.0,2.0,95,533.1574736842106,475.0315789473684,498.3094736842106,515.7873684210526,504.0273684210527,672.6315789473684,1
12011444.0,2.0,157,490.75681528662426,456.143949044586,472.6165605095542,491.0796178343949,464.6445859872612,569.2993630573249,0
12011517.0,2.0,93,484.94430107526875,454.5021505376343,485.8935483870968,497.0838709677419,459.93010752688167,527.3118279569892,0
12011584.0,2.0,43,494.5711627906977,454.12325581395345,479.3395348837209,509.1441860465117,474.43488372093026,555.8139534883721,0
12012017.0,2.0,103,541.5848543689322,484.5621359223302,503.0980582524272,517.0300970873787,509.8359223300972,693.3980582524272,1
12012106.0,2.0,94,491.15,470.7585106382978,468.72553191489357,497.48936170212767,467.0744680851064,551.7021276595744,0
12012181.0,2.0,160,514.8733749999999,466.81499999999994,493.85625,510.303125,475.3924999999999,628.0,0
12012360.0,2.0,23,499.33217391304345,470.4304347826087,479.3086956521739,486.9304347826087,478.25217391304335,581.7391304347826,0
12012556.0,2.0,155,511.2384516129032,461.9090322580645,474.3361290322581,495.02838709677417,471.2412903225806,653.6774193548387,0
12012564.0,2.0,73,481.3512328767123,462.6150684931506,457.0753424657534,483.2164383561643,472.34246575342456,531.5068493150685,0
12012580.0,2.0,67,523.2973134328358,454.67014925373144,491.3940298507463,501.6164179104478,492.089552238806,676.7164179104477,1
12012750.0,2.0,57,498.8512280701754,451.07894736842104,472.4859649122808,502.2631578947368,478.2526315789474,590.1754385964912,0
